f(x) = x*x + x + 2
  0: x = +1.500000   f(x) = 5.750000   grad = -0.500000
  1: x = +1.100000   f(x) = 4.310000   grad = -0.400000
  2: x = +0.780000   f(x) = 3.388400   grad = -0.320000
  3: x = +0.524000   f(x) = 2.798576   grad = -0.256000
  4: x = +0.319200   f(x) = 2.421089   grad = -0.204800
  5: x = +0.155360   f(x) = 2.179497   grad = -0.163840
  6: x = +0.024288   f(x) = 2.024878   grad = -0.131072
  7: x = -0.080570   f(x) = 1.925922   grad = -0.104858
  8: x = -0.164456   f(x) = 1.862590   grad = -0.083886
  9: x = -0.231565   f(x) = 1.822058   grad = -0.067109
 10: x = -0.285252   f(x) = 1.796117   grad = -0.053687
 11: x = -0.328201   f(x) = 1.779515   grad = -0.042950
 12: x = -0.362561   f(x) = 1.768889   grad = -0.034360
 13: x = -0.390049   f(x) = 1.762089   grad = -0.027488
 14: x = -0.412039   f(x) = 1.757737   grad = -0.021990
 15: x = -0.429631   f(x) = 1.754952   grad = -0.017592
 16: x = -0.443705   f(x) = 1.753169   grad = -0.014074
 17: x = -0.454964   f(x) = 1.752028   grad = -0.011259
 18: x = -0.463971   f(x) = 1.751298   grad = -0.009007
 19: x = -0.471177   f(x) = 1.750831   grad = -0.007206
 20: x = -0.476942   f(x) = 1.750532   grad = -0.005765
 21: x = -0.481553   f(x) = 1.750340   grad = -0.004612
 22: x = -0.485243   f(x) = 1.750218   grad = -0.003689
 23: x = -0.488194   f(x) = 1.750139   grad = -0.002951
 24: x = -0.490555   f(x) = 1.750089   grad = -0.002361
 25: x = -0.492444   f(x) = 1.750057   grad = -0.001889
 26: x = -0.493955   f(x) = 1.750037   grad = -0.001511
 27: x = -0.495164   f(x) = 1.750023   grad = -0.001209
 28: x = -0.496131   f(x) = 1.750015   grad = -0.000967
 29: x = -0.496905   f(x) = 1.750010   grad = -0.000774
 30: x = -0.497524   f(x) = 1.750006   grad = -0.000619
 31: x = -0.498019   f(x) = 1.750004   grad = -0.000495
 32: x = -0.498415   f(x) = 1.750003   grad = -0.000396
 33: x = -0.498732   f(x) = 1.750002   grad = -0.000317
 34: x = -0.498986   f(x) = 1.750001   grad = -0.000254
 35: x = -0.499189   f(x) = 1.750001   grad = -0.000203
 36: x = -0.499351   f(x) = 1.750000   grad = -0.000162
 37: x = -0.499481   f(x) = 1.750000   grad = -0.000130
 38: x = -0.499585   f(x) = 1.750000   grad = -0.000104
