f(x) =cos(x)
  0: x = +2.090930   f(x) = -0.496996   grad = +0.090930
  1: x = +2.177705   f(x) = -0.570331   grad = +0.086775
  2: x = +2.259847   f(x) = -0.635804   grad = +0.082142
  3: x = +2.337032   f(x) = -0.693428   grad = +0.077185
  4: x = +2.409084   f(x) = -0.743499   grad = +0.072053
  5: x = +2.475958   f(x) = -0.786525   grad = +0.066874
  6: x = +2.537714   f(x) = -0.823139   grad = +0.061756
  7: x = +2.594498   f(x) = -0.854039   grad = +0.056784
  8: x = +2.646519   f(x) = -0.879933   grad = +0.052021
  9: x = +2.694028   f(x) = -0.901504   grad = +0.047510
 10: x = +2.737305   f(x) = -0.919383   grad = +0.043277
 11: x = +2.776642   f(x) = -0.934141   grad = +0.039336
 12: x = +2.812332   f(x) = -0.946282   grad = +0.035690
 13: x = +2.844666   f(x) = -0.956240   grad = +0.032334
 14: x = +2.873925   f(x) = -0.964390   grad = +0.029258
 15: x = +2.900373   f(x) = -0.971047   grad = +0.026448
 16: x = +2.924262   f(x) = -0.976476   grad = +0.023889
 17: x = +2.945824   f(x) = -0.980898   grad = +0.021562
 18: x = +2.965276   f(x) = -0.984496   grad = +0.019452
 19: x = +2.982817   f(x) = -0.987422   grad = +0.017540
 20: x = +2.998628   f(x) = -0.989798   grad = +0.015811
 21: x = +3.012875   f(x) = -0.991727   grad = +0.014248
 22: x = +3.025712   f(x) = -0.993293   grad = +0.012836
 23: x = +3.037274   f(x) = -0.994564   grad = +0.011562
 24: x = +3.047687   f(x) = -0.995594   grad = +0.010413
 25: x = +3.057064   f(x) = -0.996430   grad = +0.009377
 26: x = +3.065506   f(x) = -0.997107   grad = +0.008443
 27: x = +3.073108   f(x) = -0.997656   grad = +0.007601
 28: x = +3.079951   f(x) = -0.998101   grad = +0.006843
 29: x = +3.086111   f(x) = -0.998461   grad = +0.006160
 30: x = +3.091656   f(x) = -0.998753   grad = +0.005545
 31: x = +3.096648   f(x) = -0.998990   grad = +0.004992
 32: x = +3.101141   f(x) = -0.999182   grad = +0.004493
 33: x = +3.105185   f(x) = -0.999337   grad = +0.004044
 34: x = +3.108825   f(x) = -0.999463   grad = +0.003640
 35: x = +3.112101   f(x) = -0.999565   grad = +0.003276
 36: x = +3.115050   f(x) = -0.999648   grad = +0.002949
 37: x = +3.117704   f(x) = -0.999715   grad = +0.002654
 38: x = +3.120092   f(x) = -0.999769   grad = +0.002389
 39: x = +3.122242   f(x) = -0.999813   grad = +0.002150
 40: x = +3.124177   f(x) = -0.999848   grad = +0.001935
 41: x = +3.125919   f(x) = -0.999877   grad = +0.001741
 42: x = +3.127486   f(x) = -0.999901   grad = +0.001567
 43: x = +3.128897   f(x) = -0.999919   grad = +0.001411
 44: x = +3.130166   f(x) = -0.999935   grad = +0.001270
 45: x = +3.131309   f(x) = -0.999947   grad = +0.001143
 46: x = +3.132337   f(x) = -0.999957   grad = +0.001028
 47: x = +3.133263   f(x) = -0.999965   grad = +0.000926
 48: x = +3.134096   f(x) = -0.999972   grad = +0.000833
 49: x = +3.134845   f(x) = -0.999977   grad = +0.000750
 50: x = +3.135520   f(x) = -0.999982   grad = +0.000675
 51: x = +3.136127   f(x) = -0.999985   grad = +0.000607
 52: x = +3.136674   f(x) = -0.999988   grad = +0.000547
 53: x = +3.137166   f(x) = -0.999990   grad = +0.000492
 54: x = +3.137608   f(x) = -0.999992   grad = +0.000443
 55: x = +3.138007   f(x) = -0.999994   grad = +0.000398
 56: x = +3.138365   f(x) = -0.999995   grad = +0.000359
 57: x = +3.138688   f(x) = -0.999996   grad = +0.000323
 58: x = +3.138979   f(x) = -0.999997   grad = +0.000290
 59: x = +3.139240   f(x) = -0.999997   grad = +0.000261
 60: x = +3.139475   f(x) = -0.999998   grad = +0.000235
 61: x = +3.139687   f(x) = -0.999998   grad = +0.000212
 62: x = +3.139878   f(x) = -0.999999   grad = +0.000191
 63: x = +3.140049   f(x) = -0.999999   grad = +0.000172
 64: x = +3.140203   f(x) = -0.999999   grad = +0.000154
 65: x = +3.140342   f(x) = -0.999999   grad = +0.000139
 66: x = +3.140467   f(x) = -0.999999   grad = +0.000125
 67: x = +3.140580   f(x) = -0.999999   grad = +0.000113
 68: x = +3.140681   f(x) = -1.000000   grad = +0.000101
